,Count,City,Zip Code,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value,Churn Reason
10,1,Los Angeles,90032,34.078821,-118.177576,Female,No,No,No,17,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,1,Competitor offered higher download speeds
11,1,Los Angeles,90039,34.110845,-118.259595,Male,No,No,Yes,5,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,1,Competitor offered higher download speeds
12,1,Los Angeles,90041,34.137412,-118.207607,Male,No,No,Yes,34,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,1,Competitor offered higher download speeds
13,1,Los Angeles,90042,34.11572,-118.192754,Female,No,No,Yes,11,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,1,Competitor offered more data
14,1,Los Angeles,90056,33.987945,-118.370442,Female,No,No,Yes,2,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,1,Competitor offered more data
15,1,Los Angeles,90061,33.92128,-118.274186,Female,No,No,Yes,15,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,1,Competitor offered more data
16,1,Los Angeles,90063,34.044271,-118.185237,Female,Yes,Yes,Yes,8,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,1,Competitor made better offer
17,1,Los Angeles,90065,34.108833,-118.229715,Male,Yes,No,Yes,18,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,1,Competitor made better offer
18,1,Beverly Hills,90211,34.063947,-118.383001,Female,No,No,Yes,9,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,1,Price too high
19,1,Huntington Park,90255,33.97803,-118.217141,Female,No,No,Yes,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,1,Product dissatisfaction
20,1,Lynwood,90262,33.923573,-118.200669,Female,No,Yes,Yes,7,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,1,Service dissatisfaction
21,1,Marina Del Rey,90292,33.977468,-118.445475,Female,No,No,Yes,12,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,1,Lack of self-service on Website
22,1,Inglewood,90301,33.956445,-118.358634,Male,No,No,No,5,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,1,Network reliability
23,1,Inglewood,90303,33.936291,-118.332639,Female,Yes,Yes,Yes,25,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,1,Limited range of services
24,1,Santa Monica,90403,34.031529,-118.491156,Male,No,Yes,No,68,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,1,Lack of affordable download/upload speed
25,1,Torrance,90504,33.867257,-118.330794,Male,No,Yes,Yes,55,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,1,Long distance charges
26,1,Whittier,90602,33.972119,-118.020188,Female,Yes,Yes,Yes,37,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,1,Extra data charges
27,1,Whittier,90606,33.976678,-118.065875,Female,No,Yes,Yes,10,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,1,Price too high
28,1,La Habra,90631,33.940619,-117.9513,Male,No,No,Yes,3,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,1,Product dissatisfaction
29,1,Pico Rivera,90660,33.989524,-118.089299,Female,Yes,No,Yes,27,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,2135.5,1,Service dissatisfaction
30,1,Avalon,90704,33.391181,-118.421305,Female,No,Yes,No,25,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,1,Lack of self-service on Website
31,1,Harbor City,90710,33.798266,-118.300237,Male,No,No,No,1,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,35.45,1,Network reliability
32,1,Lakewood,90712,33.840524,-118.148403,Male,No,No,No,2,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,81.25,1,Don't know
33,1,Los Alamitos,90720,33.79499,-118.065591,Female,Yes,Yes,Yes,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,1,Don't know
34,1,San Pedro,90731,33.736387,-118.284363,Female,No,No,No,8,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,563.65,1,Don't know
35,1,Carson,90745,33.822295,-118.26411,Male,No,No,No,1,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,45.65,1,Poor expertise of online support
36,1,Long Beach,90804,33.783047,-118.1486,Male,No,No,Yes,7,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.0,655.5,1,Poor expertise of phone support
37,1,Altadena,91001,34.196837,-118.142236,Female,No,Yes,Yes,20,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,82.4,1592.35,1,Price too high
38,1,Monrovia,91016,34.1528,-118.000482,Female,No,No,Yes,4,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.9,273.0,1,Product dissatisfaction
39,1,Sierra Madre,91024,34.168686,-118.057505,Male,Yes,Yes,No,58,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.3,2651.2,1,Service dissatisfaction
40,1,Tujunga,91042,34.296574,-118.244839,Female,No,Yes,Yes,2,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,242.8,1,Lack of self-service on Website
41,1,Pasadena,91103,34.167465,-118.165327,Female,No,Yes,No,53,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.85,5000.2,1,Network reliability
42,1,Pasadena,91106,34.139402,-118.128658,Female,Yes,No,Yes,15,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.45,1145.7,1,Limited range of services
43,1,Pasadena,91107,34.159007,-118.087353,Female,Yes,No,Yes,7,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.45,503.6,1,Lack of affordable download/upload speed
44,1,Glendale,91202,34.167926,-118.267539,Female,No,No,No,1,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),29.95,29.95,1,Long distance charges
45,1,Glendale,91204,34.136306,-118.26036,Male,No,No,Yes,8,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.5,662.65,1,Extra data charges
46,1,Glendale,91206,34.162515,-118.203869,Female,No,No,Yes,13,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.25,1111.65,1,Price too high
47,1,Glendale,91207,34.182378,-118.262922,Female,No,Yes,No,1,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,1,Product dissatisfaction
48,1,Canoga Park,91304,34.224377,-118.632656,Male,No,Yes,Yes,6,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91.0,531.0,1,Service dissatisfaction
49,1,Mission Hills,91345,34.266389,-118.459744,Male,No,No,Yes,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.9,79.9,1,Lack of self-service on Website
50,1,Santa Clarita,91350,34.502432,-118.41459,Female,No,No,Yes,19,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.6,1934.45,1,Network reliability
51,1,Sun Valley,91352,34.231053,-118.338307,Male,No,No,No,2,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46.0,84.5,1,Don't know
52,1,Stevenson Ranch,91381,34.364153,-118.615583,Female,No,No,Yes,4,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,268.35,1,Don't know
53,1,Panorama City,91402,34.223768,-118.445461,Male,No,Yes,No,4,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,50.05,179.35,1,Don't know
54,1,Van Nuys,91411,34.17847,-118.459472,Female,No,Yes,No,1,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,55.2,55.2,1,Poor expertise of online support
55,1,Burbank,91504,34.213049,-118.317651,Male,No,No,Yes,1,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.6,84.6,1,Poor expertise of phone support
56,1,North Hollywood,91601,34.1692,-118.372498,Male,No,No,No,2,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.4,114.1,1,Price too high
57,1,North Hollywood,91605,34.207295,-118.400022,Female,Yes,No,Yes,11,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,1120.3,1,Product dissatisfaction
58,1,Covina,91722,34.097345,-117.906736,Male,Yes,No,No,15,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,1074.3,1,Service dissatisfaction
59,1,Covina,91723,34.084747,-117.886844,Male,No,No,No,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.55,48.55,1,Lack of self-service on Website
60,1,El Monte,91731,34.079934,-118.046695,Female,No,Yes,No,2,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.4,147.15,1,Network reliability
61,1,El Monte,91732,34.074492,-118.01462,Male,Yes,Yes,No,1,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,40.2,40.2,1,Limited range of services
62,1,La Puente,91744,34.031441,-117.936436,Female,No,Yes,No,2,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.6,80.55,1,Lack of affordable download/upload speed
63,1,La Puente,91746,34.038983,-117.991372,Male,Yes,No,No,3,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.15,132.2,1,Long distance charges
64,1,Rowland Heights,91748,33.976753,-117.897367,Male,Yes,No,No,13,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.9,1364.3,1,Extra data charges
65,1,Ontario,91762,34.057256,-117.667677,Male,No,No,No,59,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.35,1099.6,1,Price too high
66,1,Ontario,91764,34.074087,-117.605618,Female,Yes,No,No,16,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.45,1511.2,1,Product dissatisfaction
67,1,Pomona,91766,34.042286,-117.756106,Male,No,No,No,1,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),24.8,24.8,1,Service dissatisfaction
68,1,Pomona,91768,34.067932,-117.785168,Male,No,No,No,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.6,70.6,1,Lack of self-service on Website
69,1,Rosemead,91770,34.065108,-118.082791,Male,No,Yes,No,5,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.4,401.1,1,Network reliability
70,1,San Dimas,91773,34.102119,-117.815532,Female,No,Yes,No,52,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.05,5624.85,1,Don't know
71,1,West Covina,91791,34.061634,-117.893169,Male,No,Yes,No,18,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,95.15,1779.95,1,Don't know
72,1,Alhambra,91803,34.074736,-118.145959,Male,No,Yes,No,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.0,70.0,1,Don't know
73,1,Alpine,91901,32.827184,-116.703729,Male,Yes,No,No,8,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,606.55,1,Poor expertise of online support
74,1,Bonita,91902,32.67117,-117.00232,Male,No,No,No,10,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.85,435.4,1,Poor expertise of phone support
75,1,Boulevard,91905,32.677097,-116.304991,Male,Yes,No,No,24,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.1,1712.7,1,Price too high
76,1,Guatay,91931,32.857946,-116.561917,Female,No,No,No,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.6,73.6,1,Product dissatisfaction
77,1,Jacumba,91934,32.649787,-116.2237,Female,Yes,No,No,4,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,396.1,1,Service dissatisfaction
78,1,Mount Laguna,91948,32.830852,-116.444601,Male,Yes,Yes,No,32,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,2303.35,1,Lack of self-service on Website
79,1,Borrego Springs,92004,33.200369,-116.192313,Male,No,No,No,5,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.6,415.55,1,Network reliability
80,1,Carlsbad,92009,33.098018,-117.258203,Female,No,Yes,No,38,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),80.3,3058.65,1,Limited range of services
81,1,Del Mar,92014,32.948262,-117.256086,Male,Yes,Yes,No,24,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.15,2231.05,1,Lack of affordable download/upload speed
82,1,El Cajon,92020,32.79697,-116.969082,Female,Yes,No,No,54,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),82.45,4350.1,1,Long distance charges
83,1,Escondido,92029,33.079834,-117.134275,Female,Yes,No,No,2,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.35,139.05,1,Extra data charges
84,1,Oceanside,92057,33.254497,-117.285879,Female,No,No,No,7,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.85,511.25,1,Price too high
85,1,Pala,92059,33.384345,-117.072619,Female,No,No,No,2,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,80.6,155.8,1,Product dissatisfaction
86,1,Palomar Mountain,92060,33.309852,-116.823091,Male,No,Yes,No,68,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),75.8,5293.95,1,Service dissatisfaction
87,1,Pauma Valley,92061,33.313828,-116.940501,Female,No,No,No,43,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,104.6,4759.85,1,Lack of self-service on Website
88,1,Ranchita,92066,33.215251,-116.53633,Male,No,Yes,No,63,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.4,6603.0,1,Network reliability
89,1,Valley Center,92082,33.25283,-116.986079,Female,No,No,No,2,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,168.2,1,Don't know
90,1,San Diego,92103,32.747484,-117.166877,Male,No,Yes,No,4,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.8,371.9,1,Don't know
91,1,San Diego,92104,32.741499,-117.127409,Female,Yes,No,No,21,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,41.9,840.1,1,Don't know
92,1,San Diego,92105,32.741859,-117.090353,Female,No,No,No,10,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.25,846.0,1,Poor expertise of online support
93,1,San Diego,92108,32.774046,-117.142454,Male,Yes,Yes,No,27,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),30.75,805.1,1,Poor expertise of phone support
94,1,San Diego,92116,32.765299,-117.122565,Male,No,No,No,5,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),96.5,492.55,1,Price too high
95,1,San Diego,92122,32.85723,-117.209774,Male,No,No,No,2,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.65,181.5,1,Product dissatisfaction
96,1,San Diego,92129,32.961064,-117.134917,Female,No,Yes,No,25,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.95,2566.5,1,Service dissatisfaction
97,1,San Diego,92154,32.578103,-117.012975,Male,No,No,No,1,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,50.65,50.65,1,Don't know
98,1,Indio,92201,33.713891,-116.237257,Male,No,No,No,1,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.85,90.85,1,Network reliability
99,1,Indian Wells,92210,33.537646,-116.291089,Male,Yes,Yes,No,11,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,214.75,1,Limited range of services
100,1,Palm Desert,92211,33.762759,-116.324817,Female,Yes,Yes,No,55,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,85.45,4874.7,1,Lack of affordable download/upload speed
101,1,Desert Hot Springs,92240,33.948558,-116.516976,Female,No,No,No,34,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.95,2524.45,1,Long distance charges
102,1,Holtville,92250,32.811001,-115.152865,Male,No,Yes,No,69,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.45,7007.6,1,Extra data charges
103,1,Niland,92257,33.345825,-115.596574,Female,No,No,No,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.9,19.9,1,Price too high
104,1,North Palm Springs,92258,33.906496,-116.569499,Male,No,No,No,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.6,19.6,1,Product dissatisfaction
105,1,Ocotillo,92259,32.698964,-115.886656,Male,Yes,No,No,3,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,81.35,233.7,1,Service dissatisfaction
106,1,Seeley,92273,32.790282,-115.689559,Female,No,Yes,No,22,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,83.3,1845.9,1,Lack of self-service on Website
107,1,Thermal,92274,33.53604,-116.119222,Female,Yes,No,No,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.3,75.3,1,Network reliability
108,1,Adelanto,92301,34.667815,-117.536183,Female,No,Yes,No,61,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.4,1182.55,1,Don't know
109,1,Apple Valley,92307,34.55082,-117.122396,Male,No,No,No,12,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),45.4,518.9,1,Don't know
110,1,Crestline,92325,34.248061,-117.29028,Female,No,No,No,60,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.9,6396.45,1,Don't know
111,1,Daggett,92327,34.875144,-116.821698,Female,No,No,No,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,69.55,69.55,1,Competitor had better devices
112,1,Ludlow,92338,34.702766,-116.093376,Female,No,Yes,No,28,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,81.05,2227.1,1,Competitor had better devices
113,1,Lucerne Valley,92356,34.508417,-116.856103,Male,No,Yes,No,4,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,101.15,385.9,1,Competitor had better devices
114,1,Lytle Creek,92358,34.238162,-117.534306,Male,No,No,No,7,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.8,673.25,1,Competitor had better devices
115,1,Phelan,92371,34.441123,-117.537886,Female,No,Yes,No,13,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,55.95,734.35,1,Competitor had better devices
116,1,Redlands,92373,34.003243,-117.138286,Male,No,No,No,1,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,55.0,55.0,1,Competitor had better devices
117,1,Rialto,92377,34.156758,-117.404686,Female,No,Yes,No,1,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.7,74.7,1,Competitor had better devices
118,1,Running Springs,92382,34.186211,-117.07683,Male,No,No,No,24,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,80.25,1861.5,1,Competitor had better devices
119,1,Tecopa,92389,35.824572,-116.274755,Male,No,No,No,5,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,96.1,453.4,1,Competitor had better devices
120,1,Victorville,92392,34.486835,-117.362274,Female,No,No,No,15,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),69.0,994.8,1,Competitor had better devices
121,1,Wrightwood,92397,34.358321,-117.618263,Female,No,Yes,No,48,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),45.3,2145.0,1,Price too high
122,1,San Bernardino,92401,34.105935,-117.2914,Female,No,Yes,No,8,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.55,680.05,1,Product dissatisfaction
123,1,San Bernardino,92410,34.106922,-117.297553,Male,No,No,No,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.35,74.35,1,Service dissatisfaction
124,1,Riverside,92503,33.890046,-117.455583,Female,No,Yes,No,2,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,139.4,1,Lack of self-service on Website
125,1,Riverside,92506,33.930931,-117.361788,Male,No,No,No,22,No phone service,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),43.75,903.6,1,Network reliability
126,1,Riverside,92509,34.004379,-117.447864,Female,Yes,No,No,5,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,28.45,131.05,1,Limited range of services
127,1,March Air Reserve Base,92518,33.888323,-117.277533,Female,No,No,No,12,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),99.7,1238.45,1,Lack of affordable download/upload speed
128,1,Hemet,92544,33.644585,-116.871544,Female,Yes,No,No,20,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,94.1,1782.4,1,Long distance charges
129,1,Homeland,92548,33.761894,-117.120868,Male,No,Yes,No,2,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.2,167.5,1,Don't know
130,1,Idyllwild,92549,33.755039,-116.741796,Female,No,Yes,No,6,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,80.5,502.85,1,Price too high
131,1,Moreno Valley,92557,33.970661,-117.255039,Female,Yes,Yes,No,5,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.35,334.8,1,Product dissatisfaction
132,1,Murrieta,92563,33.581045,-117.14719,Male,No,No,No,40,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),104.8,4131.95,1,Service dissatisfaction
133,1,Perris,92571,33.828289,-117.201666,Female,Yes,Yes,No,27,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.2,1929.35,1,Lack of self-service on Website
134,1,Sun City,92586,33.707483,-117.200006,Female,No,No,No,23,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),75.6,1758.6,1,Network reliability
135,1,Sun City,92587,33.69887,-117.25071,Male,No,Yes,No,34,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.05,3480.0,1,Don't know
136,1,Irvine,92612,33.643095,-117.810896,Female,No,No,No,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.0,85.0,1,Don't know
137,1,Lake Forest,92630,33.644849,-117.684254,Male,No,No,No,10,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),86.05,834.1,1,Don't know
138,1,Huntington Beach,92646,33.666301,-117.969501,Male,No,No,No,13,No phone service,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),45.55,597.0,1,Poor expertise of online support
